Channel,Red,Green,Blue
g,15,158,99
g,18,157,99
g,18,154,96
g,15,149,91
g,11,144,85
g,4,145,85
g,10,144,89
g,29,147,100
g,70,158,124
g,111,172,151
g,49,105,86
g,42,98,79
g,10,110,78
g,8,108,76
g,3,120,96
g,6,124,102
g,52,168,149
g,74,190,171
g,75,185,163
g,2,112,90
g,10,117,94
g,69,160,140
g,90,181,161
g,87,159,145
g,79,104,99
g,82,107,102
g,81,111,105
g,80,110,104
g,77,107,101
g,78,108,102
g,79,106,101
g,129,164,141
g,120,177,145
g,94,171,132
g,72,168,124
g,55,165,117
g,43,166,114
g,42,165,114
g,38,165,113
g,32,166,111
g,30,164,110
g,30,164,110
g,31,165,111
g,32,165,111
g,31,165,111
g,27,164,109
g,30,163,109
g,48,174,123
g,57,173,127
g,70,181,137
g,75,183,139
g,81,184,142
g,89,190,149
g,92,193,152
g,95,196,155
g,92,193,152
g,89,191,149
g,77,187,143
g,59,178,131
g,39,165,116
g,26,159,106
g,23,164,107
g,13,162,102
g,5,158,97
g,5,159,98
g,8,158,96
g,11,157,97
g,14,156,97
g,16,157,97
g,16,155,94
g,12,150,88
g,4,147,84
g,5,144,83
g,11,139,84
g,33,142,96
g,51,138,103
g,116,177,156
g,63,95,84
g,30,106,80
g,22,98,72
g,1,109,81
g,2,110,82
g,1,118,92
g,24,140,121
g,75,191,172
g,67,174,151
g,21,115,94
g,83,177,156
g,102,185,172
g,61,144,131
g,81,104,100
g,71,108,97
g,73,110,99
g,67,119,103
g,69,121,105
g,66,122,105
g,67,123,106
g,68,122,108
g,71,125,111
g,77,124,112
g,74,121,109
g,84,116,109
g,82,114,107
g,140,166,145
g,121,173,144
g,97,170,133
g,73,165,121
g,57,166,117
g,48,168,116
g,37,165,110
g,38,163,110
g,34,163,109
g,27,164,108
g,26,163,107
g,26,162,106
g,28,163,108
g,28,162,108
g,27,162,108
g,19,158,103
g,28,163,109
g,53,179,128
g,65,178,133
g,80,185,143
g,85,184,144
g,79,176,137
g,92,188,148
g,96,191,152
g,97,193,154
g,94,190,151
g,91,187,148
g,75,181,138
g,64,179,132
g,52,175,125
g,33,164,111
g,24,163,106
g,13,160,100
g,6,157,96
g,6,158,97
g,7,158,96
g,8,156,95
g,10,155,95
g,13,158,96
g,15,159,97
g,11,155,91
g,7,151,87
g,6,146,85
g,13,147,89
g,14,138,86
g,25,132,88
g,65,147,115
g,135,191,171
g,48,96,76
g,12,103,72
g,13,104,73
g,1,112,83
g,7,123,104
g,67,183,164
g,69,178,159
g,4,99,80
g,59,154,135
g,87,181,169
g,72,166,154
g,66,108,96
g,66,108,96
g,49,113,93
g,49,113,93
g,38,121,95
g,33,116,90
g,24,114,90
g,29,119,95
g,42,126,106
g,46,130,110
g,65,135,118
g,64,134,117
g,80,128,118
g,78,126,116
g,84,115,111
g,132,173,148
g,97,162,129
g,76,163,121
g,58,164,115
g,46,166,112
g,35,164,108
g,29,163,106
g,31,162,106
g,30,162,106
g,25,162,105
g,23,160,102
g,22,158,102
g,21,157,102
g,18,154,99
g,14,152,97
g,16,159,104
g,38,173,121
g,53,177,129
g,72,183,138
g,88,186,146
g,93,182,145
g,86,178,140
g,93,186,148
g,103,196,158
g,97,190,152
g,93,186,148
g,90,183,145
g,76,180,137
g,66,180,133
g,60,181,131
g,39,168,116
g,30,167,111
g,13,156,96
g,9,155,94
g,7,156,95
g,7,156,95
g,7,155,94
g,8,154,94
g,7,156,94
g,8,157,94
g,7,156,92
g,6,152,89
g,6,148,87
g,10,146,89
g,11,145,90
g,15,137,87
g,38,138,97
g,86,159,130
g,34,96,71
g,36,98,73
g,5,105,71
g,6,106,72
g,2,117,89
g,50,166,147
g,68,180,162
g,46,158,140
g,27,129,110
g,71,174,164
g,73,176,166
g,48,124,125
g,65,104,93
g,64,103,92
g,45,113,92
g,44,112,91
g,29,117,89
g,29,117,89
g,18,122,91
g,17,121,90
g,12,118,93
g,13,119,94
g,29,131,110
g,25,127,106
g,41,131,109
g,49,139,117
g,66,131,118
g,73,138,125
g,87,132,130
g,78,123,121
g,87,106,106
g,135,172,148
g,103,167,134
g,72,160,119
g,59,160,113
g,50,161,110
g,39,161,106
g,29,158,102
g,26,160,103
g,26,160,103
g,24,161,103
g,21,161,102
g,17,157,98
g,15,155,97
g,15,155,98
g,13,152,96
g,8,149,93
g,15,159,104
g,37,174,121
g,51,178,129
g,70,184,138
g,85,188,146
g,89,184,145
g,83,178,139
g,87,183,143
g,104,200,161
g,95,191,152
g,91,187,148
g,88,184,145
g,80,186,142
g,64,179,131
g,55,178,128
g,35,166,112
g,35,173,117
g,10,156,95
g,7,155,94
g,6,155,94
g,6,155,94
g,7,155,94
g,8,154,94
g,7,155,94
g,7,156,94
g,7,156,93
g,6,152,92
